TransactionID,IsFraud,TransactionID,oof,,,
2987000,0,2987000,0.02896277,,,
2987001,0,2987001,0.00960419,,,
2987002,0,2987002,0.010795672,,,
2987003,0,2987003,0.002205773,,,
2987004,0,2987004,0.005611375,,,
2987005,0,2987005,0.004129061,,,
2987006,0,2987006,0.006712753,,,
2987007,0,2987007,0.041021325,,,
2987008,0,2987008,0.001102107,,,
2987009,0,2987009,0.001714792,,,
2987010,0,2987010,0.00428231,,,
2987011,0,2987011,0.006165345,,,
2987012,0,2987012,0.002405976,,,
2987013,0,2987013,0.001159095,,,
2987014,0,2987014,0.009009664,,,
2987015,0,2987015,0.000566427,,,
2987016,0,2987016,0.004892811,,,
2987017,0,2987017,0.052457169,,,
2987018,0,2987018,0.000860191,,,
2987019,0,2987019,0.006901199,,,
2987020,0,2987020,0.004640005,,,
2987021,0,2987021,0.000337336,,,
2987022,0,2987022,0.003614035,,,
2987023,0,2987023,0.002067531,,,
2987024,0,2987024,0.00475233,,,
2987025,0,2987025,0.005356961,,,
2987026,0,2987026,0.003204991,,,
2987027,0,2987027,0.001742046,,,
2987028,0,2987028,0.007812606,,,
2987029,0,2987029,0.034194402,,,
2987030,0,2987030,0.000342796,,,
2987031,0,2987031,0.003720996,,,
2987032,0,2987032,0.003759387,,,
2987033,0,2987033,0.0012825,,,
2987034,0,2987034,0.000660156,,,
2987035,0,2987035,0.000794729,,,
2987036,0,2987036,0.001741483,,,
2987037,0,2987037,0.000912637,,,
2987038,0,2987038,0.000925876,,,
2987039,0,2987039,0.001618281,,,
2987040,0,2987040,0.007057357,,,
2987041,0,2987041,0.02404161,,,
2987042,0,2987042,0.008094163,,,
2987043,0,2987043,0.013809734,,,
2987044,0,2987044,0.00292606,,,
2987045,0,2987045,0.000330479,,,
2987046,0,2987046,0.041048542,,,
2987047,0,2987047,0.002519651,,,
2987048,0,2987048,0.006212057,,,
2987049,0,2987049,0.003080488,,,
2987050,0,2987050,0.006194021,,,
2987051,0,2987051,0.003433772,,,
2987052,0,2987052,0.002489212,,,
2987053,0,2987053,0.000281564,,,
2987054,0,2987054,0.004464674,,,
2987055,0,2987055,0.002022035,,,
2987056,0,2987056,0.035255443,,,
2987057,0,2987057,0.004582333,,,
2987058,0,2987058,0.004176851,,,
2987059,0,2987059,0.000491305,,,
2987060,0,2987060,0.005428359,,,
2987061,0,2987061,0.001805032,,,
2987062,0,2987062,0.000966125,,,
2987063,0,2987063,0.000266856,,,
2987064,0,2987064,0.028423592,,,
2987065,0,2987065,0.005950857,,,
2987066,0,2987066,0.013505828,,,
2987067,0,2987067,0.007190645,,,
2987068,0,2987068,0.009672596,,,
2987069,0,2987069,0.022352951,,,
2987070,0,2987070,0.007636138,,,
2987071,0,2987071,0.009357406,,,
2987072,0,2987072,0.0121589,,,
2987073,0,2987073,0.021945717,,,
2987074,0,2987074,0.0085212,,,
2987075,0,2987075,0.005403539,,,
2987076,0,2987076,0.001415975,,,
2987077,0,2987077,0.028536629,,,
2987078,0,2987078,0.003990565,,,
2987079,0,2987079,0.014724213,,,
2987080,0,2987080,0.003827959,,,
2987081,0,2987081,0.001019931,,,
2987082,0,2987082,0.006956104,,,
2987083,0,2987083,0.003410681,,,
2987084,0,2987084,0.003134114,,,
2987085,0,2987085,0.003332816,,,
2987086,0,2987086,0.002468628,,,
2987087,0,2987087,0.000851588,,,
2987088,0,2987088,0.000880101,,,
2987089,0,2987089,0.005211738,,,
2987090,0,2987090,0.012458491,,,
2987091,0,2987091,0.002597557,,,
2987092,0,2987092,0.01539353,,,
2987093,0,2987093,0.019757772,,,
2987094,0,2987094,0.010265055,,,
2987095,0,2987095,0.003425825,,,
2987096,0,2987096,0.011070322,,,
2987097,0,2987097,0.003502728,,,
2987098,0,2987098,0.00166252,,,
2987099,0,2987099,0.021827346,,,
2987100,0,2987100,0.012306221,,,
2987101,0,2987101,0.001936861,,,
2987102,0,2987102,0.00180607,,,
2987103,0,2987103,0.002009924,,,
2987104,0,2987104,0.004406202,,,
2987105,0,2987105,0.032668743,,,
2987106,0,2987106,0.001473213,,,
2987107,0,2987107,0.002235057,,,
2987108,0,2987108,0.013850915,,,
2987109,0,2987109,0.001887636,,,
2987110,0,2987110,0.004861462,,,
2987111,0,2987111,0.008663477,,,
2987112,0,2987112,0.000905342,,,
2987113,0,2987113,0.003269486,,,
2987114,0,2987114,0.06240188,,,
2987115,0,2987115,0.001058774,,,
2987116,0,2987116,0.002166379,,,
2987117,0,2987117,0.021915579,,,
2987118,0,2987118,0.002808439,,,
2987119,0,2987119,0.004174248,,,
2987120,0,2987120,0.017119439,,,
2987121,0,2987121,0.021952122,,,
2987122,0,2987122,0.002923941,,,
2987123,0,2987123,0.005331328,,,
2987124,0,2987124,0.000599893,,,
2987125,0,2987125,0.010606657,,,
2987126,0,2987126,0.009969898,,,
2987127,0,2987127,0.002408153,,,
2987128,0,2987128,0.002268759,,,
2987129,0,2987129,0.001920675,,,
2987130,0,2987130,0.002934495,,,
2987131,0,2987131,0.006050753,,,
2987132,0,2987132,0.002744792,,,
2987133,0,2987133,0.005306733,,,
2987134,0,2987134,0.005858167,,,
2987135,0,2987135,0.02957977,,,
2987136,0,2987136,0.001438385,,,
2987137,0,2987137,0.000722286,,,
2987138,0,2987138,0.00475525,,,
2987139,0,2987139,0.005585355,,,
2987140,0,2987140,0.000391935,,,
2987141,0,2987141,0.023616582,,,
2987142,0,2987142,0.002252985,,,
2987143,0,2987143,0.001033433,,,
2987144,0,2987144,0.008181767,,,
2987145,0,2987145,0.002703411,,,
2987146,0,2987146,0.001705139,,,
2987147,0,2987147,0.014845054,,,
2987148,0,2987148,0.004155164,,,
2987149,0,2987149,0.001348169,,,
2987150,0,2987150,0.01467373,,,
2987151,0,2987151,0.00043515,,,
2987152,0,2987152,0.005368867,,,
2987153,0,2987153,0.003665693,,,
2987154,0,2987154,0.000571799,,,
2987155,0,2987155,0.003277021,,,
2987156,0,2987156,0.007324685,,,
2987157,0,2987157,0.000689502,,,
2987158,0,2987158,0.00859959,,,
2987159,0,2987159,0.001857022,,,
2987160,0,2987160,0.012202183,,,
2987161,0,2987161,0.00430476,,,
2987162,0,2987162,0.002462943,,,
2987163,0,2987163,0.011487046,,,
2987164,0,2987164,0.008368756,,,
2987165,0,2987165,0.018705035,,,
2987166,0,2987166,0.007872118,,,
2987167,0,2987167,0.004528232,,,
2987168,0,2987168,0.003241114,,,
2987169,0,2987169,0.002614435,,,
2987170,0,2987170,0.004357168,,,
2987171,0,2987171,0.003878569,,,
2987172,0,2987172,0.000845673,,,
2987173,0,2987173,0.004484845,,,
2987174,0,2987174,0.004388583,,,
2987175,0,2987175,0.013434308,,,
2987176,0,2987176,0.013574249,,,
2987177,0,2987177,0.004136623,,,
2987178,0,2987178,0.041471757,,,
2987179,0,2987179,0.002206134,,,
2987180,0,2987180,0.003240672,,,
2987181,0,2987181,0.000544451,,,
2987182,0,2987182,0.018285194,,,
2987183,0,2987183,0.02026443,,,
2987184,0,2987184,0.010959077,,,
2987185,0,2987185,0.009594484,,,
2987186,0,2987186,0.012108077,,,
2987187,0,2987187,0.001423661,,,
2987188,0,2987188,0.005125457,,,
2987189,0,2987189,0.021833321,,,
2987190,0,2987190,0.053636029,,,
2987191,0,2987191,0.002395812,,,
2987192,0,2987192,0.004611329,,,
2987193,0,2987193,0.042957932,,,
2987194,0,2987194,0.001313916,,,
2987195,0,2987195,0.014577777,,,
2987196,0,2987196,0.008690615,,,
2987197,0,2987197,0.012414001,,,
2987198,0,2987198,0.004279911,,,
2987199,0,2987199,0.001971498,,,
2987200,0,2987200,0.001390335,,,
2987201,0,2987201,0.002167597,,,
2987202,0,2987202,0.001089297,,,
2987203,0,2987203,0.002921543,,,
2987204,0,2987204,0.000634217,,,
2987205,0,2987205,0.017751025,,,
2987206,0,2987206,0.003479523,,,
2987207,0,2987207,0.001662532,,,
2987208,0,2987208,0.00077959,,,
2987209,0,2987209,0.008948009,,,
2987210,0,2987210,0.006975485,,,
2987211,0,2987211,0.002180373,,,
2987212,0,2987212,0.023762789,,,
2987213,0,2987213,0.003295466,,,
2987214,0,2987214,0.036998954,,,
2987215,0,2987215,0.008947507,,,
2987216,0,2987216,0.005332015,,,
2987217,0,2987217,0.003886185,,,
2987218,0,2987218,0.066115201,,,
2987219,0,2987219,0.005156657,,,
2987220,0,2987220,0.008929263,,,
2987221,0,2987221,0.001465538,,,
2987222,0,2987222,0.00370161,,,
2987223,0,2987223,0.005759689,,,
2987224,0,2987224,0.002833303,,,
2987225,0,2987225,0.001463449,,,
2987226,0,2987226,0.001993192,,,
2987227,0,2987227,0.009941651,,,
2987228,0,2987228,0.003566103,,,
2987229,0,2987229,0.001131907,,,
2987230,0,2987230,0.002345152,,,
2987231,0,2987231,0.009087845,,,
2987232,0,2987232,0.00087875,,,
2987233,0,2987233,0.08033973,,,
2987234,0,2987234,0.004804057,,,
2987235,0,2987235,0.001265738,,,
2987236,0,2987236,0.035310403,,,
2987237,0,2987237,0.000363222,,,
2987238,0,2987238,0.003085105,,,
2987239,0,2987239,0.027555047,,,
2987240,0,2987240,0.692065418,,,
2987241,0,2987241,0.002858696,,,
2987242,0,2987242,0.001796759,,,
2987243,0,2987243,0.348718166,,,
2987244,0,2987244,0.001268186,,,
2987245,0,2987245,0.754054546,,,
2987246,0,2987246,0.010401185,,,
2987247,0,2987247,0.004255872,,,
2987248,0,2987248,0.004119743,,,
2987249,0,2987249,0.00080836,,,
2987250,0,2987250,0.003379875,,,
2987251,0,2987251,0.006361241,,,
2987252,0,2987252,0.005092014,,,
2987253,0,2987253,0.000863937,,,
2987254,0,2987254,0.003160171,,,
2987255,0,2987255,0.008716772,,,
2987256,0,2987256,0.001563398,,,
2987257,0,2987257,0.003539631,,,
2987258,0,2987258,0.001924221,,,
2987259,0,2987259,0.004422308,,,
2987260,0,2987260,0.002687497,,,
2987261,0,2987261,0.000956806,,,
2987262,0,2987262,0.005512499,,,
2987263,0,2987263,0.003553294,,,
